Suggested Themes,Count_Of_Twitter,Count_Of_Facebook,Total
Covid-19,164,68,232
Foreign news,49,102,151
Chinese culture and people,50,48,98
Covid-19 Diplomacy,36,47,83
Economy,42,40,82
China and the World,28,47,75
Diplomacy,21,43,64
China’s relations with Arab countries,36,28,64
Trade,29,30,59
Foreign news coverage,30,23,53
Xi Jinping,31,19,50
Technology,25,21,46
China-US relations,30,16,46
Tourism,30,12,42
Anti-US,31,10,41
Chinese leadership appearances and messaging,19,14,33
Chinese economic development,14,19,33
Nature,29,2,31
Poverty alleviation,19,11,30
China’s soft power?,18,11,29
Sentimental messaging?,23,0,23
Chinese festivals,11,12,23
Innovation,14,8,22
Military,8,13,21
Health,2,18,20
Development/aid,4,14,18
China’s relations with neighbours,7,10,17
Artificial Intelligence,11,6,17
Hong Kong,14,3,17
China's relations with African countries,5,10,15
Foreign media coverage of China,4,10,14
Xinjiang,8,4,12
Countering negative news on China,9,2,11
5G,6,5,11
Industry,11,0,11
Infrastructure,6,4,10
Sustainable Development,5,5,10
Chinese political system,6,3,9
Wildlife,6,2,8
Environment,4,4,8
Belt and Road Initiative (BRI),6,1,7
Businesses,7,0,7
Wuhan,6,0,6
Education,6,0,6
China’s relations with the UN,3,3,6
China’s relations with the EU,3,2,5
Uighurs,1,4,5
Huawei,4,1,5
Anti-Trump,5,0,5
Disinformation,3,1,4
Sustainable technologies,3,1,4
Climate,3,1,4
Media,4,0,4
Energy,3,0,3
E-commerce,3,0,3
China’s relations with the UK,2,1,3
Politics,1,2,3
N Korea,1,1,2
Chinese peacekeeping forces,1,1,2
Human rights,1,1,2
Tibet,1,1,2
Territorial disputes,1,1,2
Racial disharmony in US,2,0,2
Motivational speaking,2,0,2
Black Lives Matter,2,0,2
Food diplomacy,2,0,2
Treatment of minorities in US,2,0,2
Environmental protection,2,0,2
Macau,1,1,2
Freedom of speech,1,0,1
Economic reform,1,0,1
Techonology,1,0,1
Xi Jingping,1,0,1
China-Asia-Pacific relations,1,0,1
South China Sea,1,0,1
Reduction of greenhouse gases,1,0,1
Taiwan,1,0,1
Security,1,0,1
Cultural diplomacy,1,0,1
Economy China and the World,1,0,1
China-US relation,1,0,1
Internet,1,0,1
Space exploration/tech/progress,1,0,1
Covid-19 preventive measures,1,0,1
Initiatives,1,0,1
military,1,0,1
Ethnic minorities,1,0,1
Democracy,1,0,1
؟,1,0,1
